Countries,Continent,Average_Pop(thousands people),Average_GDP(M$),Average_GDP_per_capita($),Average_HEXP($),Development_level,AMR_female(per_1000_female_adults),AMR_male(per_1000_male_adults),Average_CDR
Haiti,North America,11304.94,16185.24,1431.7,53.07,Short,184.01,286.37,8.27
Honduras,North America,10119.65,25802.18,2549.71,218.66,Short,126.03,187.12,4.96
Hungary,Europe,9743.73,167840.99,17225.54,1202.91,Average,76.77,161.84,14.63
Iceland,Europe,366.52,23923.12,65271.81,6077.78,High,43.93,65.15,6.3
India,Asia,1395687.67,2902064.81,2079.31,70.87,Short,156.69,216.56,7.84
Indonesia,Asia,271731.35,1121553.42,4127.43,140.64,Short,161.14,218.87,8.86
Iraq,Asia,42551.37,203240.4,4776.35,245.89,Short,128.48,185.77,4.76
Ireland,Europe,4984.3,443119.01,88903.04,6108.42,High,42.45,69.46,6.47
Italy,Europe,59433.7,2007623.44,33779.21,3107.37,Average,35.53,61.48,11.7
Jamaica,North America,2820.63,14766.92,5235.32,353.31,Short,133.19,201.5,7.95
Japan,Asia,126191.86,5057439.98,40077.39,4415.62,High,35.58,64.41,11.33
Jordan,Asia,10925.23,44973.24,4116.46,297.08,Short,73.41,116.5,3.5
Kazakhstan,Europe,18756.78,183287.27,9771.79,337.1,Short,116.76,266.08,8.47
Kenya,Africa,51980.95,103797.36,1996.83,92.37,Short,300.29,397.0,7.6
Kiribati,Australia,126.53,193.45,1528.93,257.09,Short,162.36,211.17,6.24
Kuwait,Asia,4350.55,126312.26,29033.61,1805.22,Average,36.55,69.58,2.78
Latvia,Europe,1899.59,36224.07,19069.45,1464.81,Average,84.5,210.61,16.03
Lebanon,Asia,5679.15,36047.11,6347.27,537.25,Short,65.74,97.62,6.57
Lesotho,Africa,2253.75,2371.17,1052.1,113.96,Short,411.09,524.48,13.35
Liberia,Africa,5088.76,3208.67,630.54,89.67,Short,262.57,302.63,8.75
Lithuania,Europe,2796.62,59322.36,21212.16,1582.99,Average,77.92,212.3,15.43
Luxembourg,Europe,630.16,76441.52,121304.68,6881.1,High,37.89,66.66,7.07
Madagascar,Africa,28224.65,13903.62,492.61,18.92,Short,186.54,257.55,6.81
Malawi,Africa,19378.05,11759.86,606.87,43.63,Short,242.4,385.87,6.77
Malaysia,Asia,33192.63,358499.44,10800.57,449.63,Average,75.52,147.1,5.53
Maldives,Asia,513.47,4916.58,9575.25,1000.92,Short,40.94,55.55,2.96
Mali,Africa,21232.15,18181.11,856.3,34.5,Short,248.9,302.72,9.34
Malta,Europe,512.64,16219.51,31638.98,3240.34,Average,24.06,46.79,7.73
Marshall Islands,Australia,43.4,245.67,5660.99,765.9,Short,240.44,293.25,7.42
Mauritania,Africa,4499.14,8822.62,1960.96,71.11,Short,175.12,228.56,7.3
Mauritius,Africa,1266.11,12438.55,9824.22,601.77,Short,94.54,189.02,9.33
Mexico,North America,125929.58,1210787.83,9614.8,575.93,Short,123.76,259.15,8.56
Mongolia,Asia,3291.52,14268.59,4334.96,247.2,Short,100.32,255.62,5.7
Montenegro,Europe,620.85,5391.29,8683.75,871.38,Short,67.54,133.13,12.37
Morocco,Africa,36689.92,131044.79,3571.68,197.15,Short,84.77,128.86,5.97
Mozambique,Africa,31180.3,15107.89,484.53,42.96,Short,235.02,370.76,8.28
Myanmar,Asia,53420.5,71652.85,1341.3,67.06,Short,155.69,262.68,9.09
Namibia,Africa,2488.63,11811.32,4746.11,422.34,Short,287.47,440.24,9.14
Nauru,Australia,12.32,132.05,10718.92,1428.39,Average,248.1,402.01,6.57
Nepal,Asia,29405.37,34444.81,1171.38,64.96,Short,148.01,204.76,7.29
New Zealand,Australia,5060.27,225366.55,44536.5,4397.45,High,50.06,78.15,6.7
Nicaragua,North America,6756.79,13065.54,1933.69,186.8,Short,102.99,197.7,5.06
Niger,Africa,24343.25,13858.51,569.3,35.46,Short,215.47,260.73,8.08
Nigeria,Africa,208344.41,447780.05,2149.23,77.85,Short,360.05,378.02,13.02
North Macedonia,Europe,2071.44,12933.38,6243.67,485.69,Short,61.48,108.93,12.57
Norway,Europe,5378.56,422223.2,78501.11,8244.14,High,37.33,60.38,7.63
Oman,Asia,4555.55,83407.89,18309.09,825.07,Average,72.89,105.23,3.01
Pakistan,Asia,227297.38,309390.58,1361.17,40.07,Short,141.28,213.56,7.0
Panama,North America,4292.73,61522.0,14331.67,1497.98,Average,82.64,156.36,5.64
Papua New Guinea,Australia,9747.19,24977.82,2562.57,66.7,Short,175.67,273.17,6.52
Paraguay,South America,6617.51,37769.47,5707.51,447.53,Short,122.67,206.38,6.4
Peru,South America,33281.7,221365.61,6651.27,414.39,Short,108.51,177.27,7.11
Philippines,Asia,112150.7,377553.66,3366.49,185.53,Short,119.46,169.69,6.16
Poland,Europe,37870.56,625615.76,16519.85,1066.45,Average,59.83,156.2,12.4
Portugal,Europe,10315.06,241000.63,23363.96,2438.25,Average,44.17,99.95,11.67
Qatar,Asia,2751.95,166819.87,60618.75,1981.36,High,42.63,52.76,1.17
Romania,Europe,19252.99,262556.24,13637.17,837.06,Average,63.76,164.76,15.47
Rwanda,Africa,13147.76,10536.99,801.43,56.44,Short,190.06,273.1,6.14
Samoa,Australia,215.2,876.3,4072.04,254.67,Short,109.59,173.85,5.38
Sao Tome and Principe,Africa,218.78,479.1,2189.85,153.48,Short,187.49,279.62,6.19
Saudi Arabia,Asia,35924.96,813807.64,22652.99,1359.14,Average,83.51,103.07,2.81
Senegal,Africa,16437.87,25175.97,1531.58,77.77,Short,142.46,222.46,5.64
Serbia,Europe,6892.9,55984.25,8122.02,743.51,Short,63.14,135.85,17.17
Seychelles,Africa,98.45,1466.51,14896.24,756.59,Average,98.43,207.18,8.07
Sierra Leone,Africa,8233.81,4129.57,501.54,48.08,Short,225.36,264.03,9.16
Singapore,Asia,5614.31,383008.78,68220.05,3529.84,High,33.1,57.25,5.33
Slovenia,Europe,2099.63,56595.66,26955.09,2470.43,Average,38.48,87.42,10.77
Solomon Islands,Australia,691.34,1578.53,2283.27,110.71,Short,144.53,184.84,5.03
South Africa,Africa,58760.41,381722.14,6496.25,542.44,Short,262.51,365.07,9.82
South Sudan,Africa,10600.72,5130.12,483.94,38.45,Short,309.03,370.42,10.78
Spain,Europe,47305.43,1366221.58,28880.86,2950.05,Average,37.04,72.07,9.57
Sri Lanka,Asia,21959.33,87781.04,3997.44,161.47,Short,67.37,149.9,7.16
Sudan,Africa,44443.26,34236.33,770.34,26.81,Short,170.43,246.03,6.68
Suriname,South America,606.78,3855.0,6353.17,458.37,Short,139.83,230.76,7.59
Sweden,Europe,10349.38,572596.65,55326.66,6185.62,High,37.01,59.42,8.97
Switzerland,Europe,8639.33,753957.81,87270.39,10107.99,High,32.57,56.09,8.3
Tajikistan,Asia,9543.42,8457.53,886.22,70.5,Short,123.08,184.28,5.17
Thailand,Asia,71461.51,516744.18,7231.08,319.55,Short,71.15,174.56,7.44
Timor-Leste,Asia,1300.46,1606.67,1235.46,111.71,Short,151.72,197.65,6.98
Togo,Africa,8443.5,7740.33,916.72,60.6,Short,251.94,281.07,8.35
Tonga,Australia,105.41,489.0,4639.15,260.5,Short,157.04,231.73,6.94
Trinidad and Tobago,North America,1521.26,23123.06,15199.99,1118.72,Average,113.57,198.38,8.24
Tunisia,Africa,12157.99,43710.37,3595.2,240.53,Short,66.89,136.16,6.93
Turkmenistan,Asia,6250.24,56840.57,9094.15,512.56,Short,116.84,230.92,6.67
Tuvalu,Australia,11.08,55.31,4993.53,1148.39,Short,216.49,384.1,10.17
Uganda,Africa,44402.49,39493.41,889.44,38.37,Short,243.76,339.11,5.85
United Arab Emirates,Asia,9288.03,394161.48,42437.57,2185.53,High,46.87,69.84,1.7
Uruguay,South America,3427.92,58036.53,16930.55,1604.53,Average,83.25,152.77,10.55
Uzbekistan,Asia,34242.5,62977.99,1839.18,127.24,Short,121.32,204.67,4.9
Vanuatu,Australia,311.74,939.19,3012.72,122.06,Short,136.51,192.91,5.52
Viet Nam,Asia,96631.14,349039.52,3612.08,173.11,Short,73.97,178.17,6.73
Zambia,Africa,18927.11,21188.98,1119.5,79.17,Short,231.56,341.14,6.72
Zimbabwe,Africa,15672.6,29625.67,1890.28,57.28,Short,308.08,423.15,8.41
